word_segment,instances,prominence
འི་,514,4.557545664124845
ར་,474,4.202872849796063
ས་,291,2.580244724241887
དང་,270,2.3940414967192765
ལ་,221,1.959567299166519
ལ,175,1.55169356268842
དུ་,165,1.4630253591062246
མི་,136,1.2058875687178578
ཀྱི་,135,1.1970207483596382
ནི་,122,1.081752083702784
ཀྱང་,95,0.8423479340308565
གི་,94,0.8334811136726369
བདག་,86,0.7625465508068806
དེ་,81,0.7182124490157829
ནས་,78,0.6916119879411242
ཡང་,75,0.6650115268664657
སོགས་,74,0.6561447065082462
ཞེས་,74,0.6561447065082462
གྱི་,68,0.6029437843589289
མ་,67,0.5940769640007093
ས,65,0.5763433232842703
གིས་,65,0.5763433232842703
ཏུ་,60,0.5320092214931725
སུ་,58,0.5142755807767334
བྱང་ཆུབ་,56,0.49654194006029434
རྣམས་,55,0.48767511970207483
འདི་,50,0.4433410179109771
ན་,50,0.4433410179109771
ན,49,0.43447419755275757
བྱེད་,48,0.425607377194538
གནས་,46,0.407873736478099
བྱས་,44,0.39014009576165987
ཞིང་,43,0.3812732754034403
ཀྱིས་,42,0.3724064550452208
སོ,42,0.3724064550452208
ཐམས་ཅད་,40,0.35467281432878167
ཅིང་,39,0.3458059939705621
སེམས་,38,0.33693917361234266
ཤིང་,38,0.33693917361234266
ཡིན་,38,0.33693917361234266
ཉོན་མོངས་པ་,36,0.31920553289590353
ཉོན་མོངས་,35,0.31033871253768397
གང་,34,0.30147189217946446
གྱུར་,33,0.2926050718212449
ཡོད་,32,0.28373825146302534
སྟེ,31,0.27487143110480583
ནི,31,0.27487143110480583
གཅིག་,31,0.27487143110480583
ཆོས་,30,0.26600461074658627
ཕྱིར་,30,0.26600461074658627
སངས་རྒྱས་,30,0.26600461074658627
ཡི་,30,0.26600461074658627
ཉོན་མོངས་པ,30,0.26600461074658627
འགྱུར་,29,0.2571377903883667
སེམས་ཅན་,29,0.2571377903883667
འང་,28,0.24827097003014717
མེད་,28,0.24827097003014717
སྡུག་བསྔལ་,28,0.24827097003014717
འདི,27,0.23940414967192764
ཤིན་ཏུ་,27,0.23940414967192764
བྱེད་པ་,26,0.2305373293137081
བག་,26,0.2305373293137081
མེད་པ,26,0.2305373293137081
བྱེད་པ,26,0.2305373293137081
དགྲ་,26,0.2305373293137081
ནས,25,0.22167050895548854
དོན་,25,0.22167050895548854
གཞན་,25,0.22167050895548854
གྱིས་,24,0.212803688597269
དེ་དག་,24,0.212803688597269
ཚེ་,24,0.212803688597269
བྱ,23,0.2039368682390495
དུས་,23,0.2039368682390495
གྱུར་པ,23,0.2039368682390495
ཀུན་,23,0.2039368682390495
འཇིག་རྟེན་,23,0.2039368682390495
འམ་,22,0.19507004788082993
བྱ་,22,0.19507004788082993
དེ་ལྟར་,22,0.19507004788082993
དེ,22,0.19507004788082993
ཞིག་,22,0.19507004788082993
འོ,21,0.1862032275226104
མདོ་,21,0.1862032275226104
རོ,21,0.1862032275226104
བློ་,20,0.17733640716439084
དེ་བཞིན་,20,0.17733640716439084
དགེ་བ,20,0.17733640716439084
ཙམ་,20,0.17733640716439084
ངན་སོང་,20,0.17733640716439084
ལུས་,20,0.17733640716439084
དག་,20,0.17733640716439084
ཐབས་,20,0.17733640716439084
སྟེ་,19,0.16846958680617133
བར་,19,0.16846958680617133
ཏེ་,19,0.16846958680617133
བཞིན་,19,0.16846958680617133
ཕྱོགས་,18,0.15960276644795177
སེམས་དཔའ་,18,0.15960276644795177
མེད་པ་,18,0.15960276644795177
ལྟར་,18,0.15960276644795177
རང་,17,0.15073594608973223
རབ་ཏུ་,17,0.15073594608973223
དུ,17,0.15073594608973223
ཅི་,17,0.15073594608973223
འགྱུར,17,0.15073594608973223
སྔར་,17,0.15073594608973223
གནོད་པ་,17,0.15073594608973223
འགྲོ་བ་,16,0.14186912573151267
ཏེ,16,0.14186912573151267
མིན་,16,0.14186912573151267
ཐོབ་པ་,16,0.14186912573151267
ནང་,16,0.14186912573151267
གནོད་,16,0.14186912573151267
གསུམ་,15,0.13300230537329313
བསླབ་པ་,15,0.13300230537329313
ཡོངས་སུ་,15,0.13300230537329313
དགེ་བ་,15,0.13300230537329313
གལ་ཏེ་,15,0.13300230537329313
རིགས་,15,0.13300230537329313
བདེ་བ་,15,0.13300230537329313
སྟོབས་,15,0.13300230537329313
རྙེད་,15,0.13300230537329313
གཉེན་པོ་,14,0.12413548501507359
གཉིས་,14,0.12413548501507359
གསུངས་པ་,14,0.12413548501507359
ཇི་ལྟར་,14,0.12413548501507359
ཡོད་པ,14,0.12413548501507359
རྒྱུ་,14,0.12413548501507359
བརྩོན་པ,14,0.12413548501507359
དེ་ཡང་,14,0.12413548501507359
ཆེན་པོ་,14,0.12413548501507359
སྡིག་པ་,14,0.12413548501507359
རང་བཞིན་,14,0.12413548501507359
ཉམས་པ,13,0.11526866465685405
སྒོ་,13,0.11526866465685405
ནོ,13,0.11526866465685405
གསུངས་,13,0.11526866465685405
བྱ་བ,13,0.11526866465685405
ཡུལ་,13,0.11526866465685405
ཉིད་,13,0.11526866465685405
འཁོར་བ,13,0.11526866465685405
བསྟན་པ་,12,0.1064018442986345
རྟག་,12,0.1064018442986345
ནུས་,12,0.1064018442986345
ཡང་དག་པ,12,0.1064018442986345
ལྷ་,12,0.1064018442986345
རྒྱལ་པོ་,12,0.1064018442986345
ཞེ་སྡང་,12,0.1064018442986345
བྱ་བ་,12,0.1064018442986345
འགྲོ་བ,12,0.1064018442986345
དོ,12,0.1064018442986345
སྐྱེ་བ,12,0.1064018442986345
དམ་བཅ,11,0.09753502394041497
བག་མེད་པ,11,0.09753502394041497
སྒྲུབ་པ,11,0.09753502394041497
རྩ་བ་,11,0.09753502394041497
སེམས་བསྐྱེད་,11,0.09753502394041497
འབྲས་བུ་,11,0.09753502394041497
འཇུག་,11,0.09753502394041497
ཉམས་,11,0.09753502394041497
ར,11,0.09753502394041497
ནུས་པ་,11,0.09753502394041497
ཡུན་རིང་,11,0.09753502394041497
སྐྱོན་,11,0.09753502394041497
ག་ལ་,11,0.09753502394041497
བཅས་,11,0.09753502394041497
རྙེད་པ,11,0.09753502394041497
ཆེད་,11,0.09753502394041497
དགྲ་བོ་,11,0.09753502394041497
ལེའུ་,10,0.08866820358219542
དང་པོ་,10,0.08866820358219542
དབང་,10,0.08866820358219542
འདོད་ཆགས་,10,0.08866820358219542
བརྟགས་,10,0.08866820358219542
བདག་ཉིད་,10,0.08866820358219542
ཡེ་ཤེས་,10,0.08866820358219542
བྱས་པ,10,0.08866820358219542
གནས་སྐབས་,10,0.08866820358219542
འགྱུར་བ,10,0.08866820358219542
ཡིད་,10,0.08866820358219542
ཚུལ་,10,0.08866820358219542
སྐྱེ་བ་,10,0.08866820358219542
ལྟ་བུ,10,0.08866820358219542
ས་བོན་,10,0.08866820358219542
འབྱུང་བ་,10,0.08866820358219542
དགོས་,10,0.08866820358219542
མེ་,10,0.08866820358219542
འདི་དག་,10,0.08866820358219542
བརྒྱ་,10,0.08866820358219542
དགྲ,10,0.08866820358219542
བསྟེན་,10,0.08866820358219542
གཉིས་པ་,9,0.07980138322397588
བཟོད་པ་,9,0.07980138322397588
གོང་,9,0.07980138322397588
གནས་པ,9,0.07980138322397588
བསམས་,9,0.07980138322397588
རྟེན་,9,0.07980138322397588
གང་ཞིག་,9,0.07980138322397588
མཐོང་,9,0.07980138322397588
ཤེས་རབ་,9,0.07980138322397588
སྤྱོད་པ་,9,0.07980138322397588
མི,9,0.07980138322397588
ཐོབ་པ,9,0.07980138322397588
ལོ་,9,0.07980138322397588
དངོས་པོ་,9,0.07980138322397588
ལྟ་བུ་,9,0.07980138322397588
ཡིན,9,0.07980138322397588
བརྩོན་,9,0.07980138322397588
ཉམས་ལེན་,9,0.07980138322397588
ཐོབ་,9,0.07980138322397588
བཤད་པ་,8,0.07093456286575633
དངོས་,8,0.07093456286575633
བསླབ་བྱ་,8,0.07093456286575633
དྲུག་,8,0.07093456286575633
རྒྱུ,8,0.07093456286575633
འཇམ་དཔལ་,8,0.07093456286575633
རྫོགས་པ,8,0.07093456286575633
བསླབ་པ,8,0.07093456286575633
དེས་ན་,8,0.07093456286575633
ཡོད་པ་,8,0.07093456286575633
ཅི་ཞིག་,8,0.07093456286575633
ལེ་ལོ་,8,0.07093456286575633
འཆི་བ,8,0.07093456286575633
དལ་འབྱོར་,8,0.07093456286575633
བཏང་,8,0.07093456286575633
ནའང་,8,0.07093456286575633
ངེས་,8,0.07093456286575633
སྐབས་,8,0.07093456286575633
རྣམ་སྨིན་,8,0.07093456286575633
མང་,8,0.07093456286575633
འོག་,8,0.07093456286575633
སྦྱིན་པ,8,0.07093456286575633
སྙམ་,8,0.07093456286575633
འདོད་,8,0.07093456286575633
སྐད་ཅིག་,8,0.07093456286575633
འི,8,0.07093456286575633
ངན་འགྲོ་,8,0.07093456286575633
ལྡན་པ,8,0.07093456286575633
ཆེས་,8,0.07093456286575633
ཤེས་པ,8,0.07093456286575633
ལྟར,8,0.07093456286575633
རྣམ་པ་,8,0.07093456286575633
དཀའ་བ་,8,0.07093456286575633
དཀའ་,8,0.07093456286575633
རྨོངས་པ,8,0.07093456286575633
ཤེས་,8,0.07093456286575633
གྱུར་པ་,8,0.07093456286575633
བདག་མེད་,8,0.07093456286575633
མཐུན་,7,0.06206774250753679
བཟོད་པ,7,0.06206774250753679
དེ་ལྟ་,7,0.06206774250753679
ཕྱིན་,7,0.06206774250753679
བསྒྲུབ་པ,7,0.06206774250753679
སེམས་དཔ,7,0.06206774250753679
བཅས་པ་,7,0.06206774250753679
ལ་མ་,7,0.06206774250753679
བརྩོན་འགྲུས་,7,0.06206774250753679
དེ་བ,7,0.06206774250753679
མཐ,7,0.06206774250753679
བྱུང་,7,0.06206774250753679
ཟིན་པ,7,0.06206774250753679
ཆེན་པོ,7,0.06206774250753679
སྨོན་,7,0.06206774250753679
ཚོགས་,7,0.06206774250753679
སྐྱེ་,7,0.06206774250753679
ཚེ,7,0.06206774250753679
སྲིད་,7,0.06206774250753679
ཟིན་,7,0.06206774250753679
བསྐྱེད་,7,0.06206774250753679
བསོད་ནམས་,7,0.06206774250753679
དགོས་པ་,7,0.06206774250753679
འཇིགས་,7,0.06206774250753679
རིང་,7,0.06206774250753679
ཆེ་བ་,7,0.06206774250753679
རྒྱུན་,7,0.06206774250753679
ནད་,7,0.06206774250753679
ཡིས་,7,0.06206774250753679
དུའང་,7,0.06206774250753679
སྐྱེས་,7,0.06206774250753679
ད་ལྟ་,7,0.06206774250753679
བརྩོན་པ་,7,0.06206774250753679
མི་ལུས་,7,0.06206774250753679
འཇུག་པ་,7,0.06206774250753679
འབའ་ཞིག་,7,0.06206774250753679
གསུངས,7,0.06206774250753679
ཅི་ཡང་,7,0.06206774250753679
ལོག་,7,0.06206774250753679
ཡིན་པ,7,0.06206774250753679
སྤང་,7,0.06206774250753679
ཡོངས་,7,0.06206774250753679
སྨན་,7,0.06206774250753679
བསླབ་,6,0.05320092214931725
ཅུང་ཟད་,6,0.05320092214931725
སྲོག་,6,0.05320092214931725
ཕྱིར་ཡང་,6,0.05320092214931725
འབད་,6,0.05320092214931725
བུ་,6,0.05320092214931725
ཞེ་ན,6,0.05320092214931725
སྒྲུབ་པ་,6,0.05320092214931725
བཟོད་,6,0.05320092214931725
སྲུང་བ་,6,0.05320092214931725
འབྱུང་བ,6,0.05320092214931725
དཀའ་བ,6,0.05320092214931725
ཅན་,6,0.05320092214931725
ཏེ་བག་,6,0.05320092214931725
ཕན་པ་,6,0.05320092214931725
ལྡོག་,6,0.05320092214931725
རུ་,6,0.05320092214931725
མྱོང་བ,6,0.05320092214931725
རྒྱུ་མཚན་,6,0.05320092214931725
རྒྱ་མཚོ་,6,0.05320092214931725
མྱ་ངན་,6,0.05320092214931725
དེ་ལས་,6,0.05320092214931725
བླ་,6,0.05320092214931725
ཡི་དྭགས་,6,0.05320092214931725
ཟས་,6,0.05320092214931725
བཞག་,6,0.05320092214931725
དག,6,0.05320092214931725
མ་ཡིན་པ,6,0.05320092214931725
འོ་ན་,6,0.05320092214931725
དུ་མ་,6,0.05320092214931725
འདྲ,6,0.05320092214931725
མིན་པ,6,0.05320092214931725
མང་པོ,6,0.05320092214931725
བསྐལ་པ་,6,0.05320092214931725
མིན,6,0.05320092214931725
ཉེས་པ་,6,0.05320092214931725
གཞན་དག་,6,0.05320092214931725
ཆད་,6,0.05320092214931725
ལྟ་,6,0.05320092214931725
ཞི་བ,6,0.05320092214931725
བཞིན,6,0.05320092214931725
རྒྱུད་,6,0.05320092214931725
ཁྱད་པར་,6,0.05320092214931725
རུང་བ་,6,0.05320092214931725
རང་ཉིད་,6,0.05320092214931725
ཕྱི་,6,0.05320092214931725
རྐྱེན་,6,0.05320092214931725
ནམ་,6,0.05320092214931725
འཛིན་པ,6,0.05320092214931725
ཕྲག་,6,0.05320092214931725
དམྱལ་,6,0.05320092214931725
བྱེད,6,0.05320092214931725
ཆགས་,6,0.05320092214931725
འཛིན་,6,0.05320092214931725
རྣམ་འགྲེལ་,6,0.05320092214931725
མདོ,5,0.04433410179109771
ཐོག་མ,5,0.04433410179109771
བཟུང་,5,0.04433410179109771
འབད་པ,5,0.04433410179109771
འཇུག་པ,5,0.04433410179109771
དམ་བཅའ་,5,0.04433410179109771
ཚིག་,5,0.04433410179109771
ཐོས་,5,0.04433410179109771
བདེ་བ,5,0.04433410179109771
གཙོ་བོ་,5,0.04433410179109771
ངོ་བོ་,5,0.04433410179109771
སུ,5,0.04433410179109771
གཏི་མུག་,5,0.04433410179109771
བཅས་པ,5,0.04433410179109771
འདོད་པ་,5,0.04433410179109771
སྔོན་,5,0.04433410179109771
བག་མེད་པ་,5,0.04433410179109771
སྒོམ་,5,0.04433410179109771
སྡིག་པ,5,0.04433410179109771
གཡུལ་,5,0.04433410179109771
སྤང་བྱ་,5,0.04433410179109771
བརྟགས་པ,5,0.04433410179109771
ཅིག་,5,0.04433410179109771
བླངས་,5,0.04433410179109771
ཡོད,5,0.04433410179109771
ཕན་,5,0.04433410179109771
ཆོས་ཉིད་,5,0.04433410179109771
ཚུལ་ཁྲིམས་,5,0.04433410179109771
འཛིན་པ་,5,0.04433410179109771
སེམས་བསྐྱེད་པ,5,0.04433410179109771
འོ་,5,0.04433410179109771
སྦྱོར་བ་,5,0.04433410179109771
ལས་མ་,5,0.04433410179109771
མཐོང་བ,5,0.04433410179109771
རྣམ་པ,5,0.04433410179109771
སྨྲ་བ་,5,0.04433410179109771
བསམ་,5,0.04433410179109771
མི་གང་,5,0.04433410179109771
དམྱལ་བ,5,0.04433410179109771
བདེ་འགྲོ,5,0.04433410179109771
བྱང་སེམས་,5,0.04433410179109771
བདེ་འགྲོ་,5,0.04433410179109771
ངེས་པ,5,0.04433410179109771
སྐྱེས་པ,5,0.04433410179109771
བཅད་,5,0.04433410179109771
སོ་,5,0.04433410179109771
བར་ཆད་,5,0.04433410179109771
མྱོང་,5,0.04433410179109771
བུ,5,0.04433410179109771
དམ་,5,0.04433410179109771
སྐྱེད་པ,5,0.04433410179109771
བཅོམ་,5,0.04433410179109771
ལ་སོགས་པ,5,0.04433410179109771
དབང་པོ་,5,0.04433410179109771
མངོན་པར་,5,0.04433410179109771
ཁོ་ན་,5,0.04433410179109771
བྱས་པ་,5,0.04433410179109771
གིས,5,0.04433410179109771
གྱིས,5,0.04433410179109771
ད་དུང་,5,0.04433410179109771
ཚེ་རབས་,5,0.04433410179109771
ཆེ་བ,5,0.04433410179109771
འབྱོར་,5,0.04433410179109771
ལྔ་,5,0.04433410179109771
སྤངས་,5,0.04433410179109771
དཀའ,5,0.04433410179109771
ལུས་རྟེན་,5,0.04433410179109771
ལྡན་,5,0.04433410179109771
དེ་ཉིད་,5,0.04433410179109771
རུས་སྦལ་,5,0.04433410179109771
རྙེད་པ་,5,0.04433410179109771
རླུང་,5,0.04433410179109771
ཐུབ་པ་,5,0.04433410179109771
ཀྱི,5,0.04433410179109771
སྙམ་པ,5,0.04433410179109771
གཉེན་པོ,5,0.04433410179109771
ཚབས་,5,0.04433410179109771
རྟོགས་,5,0.04433410179109771
གནོད་པ,5,0.04433410179109771
ཡིན་པ་,5,0.04433410179109771
གཞོམ་པ་,5,0.04433410179109771
ངེས་པར་,5,0.04433410179109771
སྤང་བ,5,0.04433410179109771
ང་རྒྱལ་,5,0.04433410179109771
གཞོམ་པ,5,0.04433410179109771
ཉེ,5,0.04433410179109771
མིག་,5,0.04433410179109771
འཛིན་སྟངས་,5,0.04433410179109771
ཡོན་ཏན་,5,0.04433410179109771
རྩད་,5,0.04433410179109771
ལེའུ,4,0.03546728143287817
རབ་,4,0.03546728143287817
ལས་མི་,4,0.03546728143287817
ཚང་བ,4,0.03546728143287817
སྨོས་,4,0.03546728143287817
གཤེགས་པ,4,0.03546728143287817
བདག་པོ་,4,0.03546728143287817
སྙིང་པོ,4,0.03546728143287817
ཅེས་,4,0.03546728143287817
ཕུན་སུམ་,4,0.03546728143287817
ཉམས་པ་,4,0.03546728143287817
མི་དགེ་བ་,4,0.03546728143287817
སློབ་དཔོན་,4,0.03546728143287817
བསམ་པ་,4,0.03546728143287817
བསྲུང་བ་,4,0.03546728143287817
ཞིབ་,4,0.03546728143287817
སྤྱི་,4,0.03546728143287817
མཁྱེན་པ,4,0.03546728143287817
མངོན་སུམ་,4,0.03546728143287817
རིགས་པ,4,0.03546728143287817
རུང་,4,0.03546728143287817
གནས་པ་,4,0.03546728143287817
བྱམས་པ་,4,0.03546728143287817
འདྲ་བ,4,0.03546728143287817
འཁོར་བ་,4,0.03546728143287817
ལག་ལེན་,4,0.03546728143287817
སྦྱིན་,4,0.03546728143287817
གྲངས་,4,0.03546728143287817
སྐྱེ་བ་ཕྱི་མ,4,0.03546728143287817
བློ་གྲོས་,4,0.03546728143287817
རྒྱལ་པོ,4,0.03546728143287817
སྐྱེ་བོ་,4,0.03546728143287817
ལམ་,4,0.03546728143287817
ང་,4,0.03546728143287817
རྨོངས་,4,0.03546728143287817
ལོག་པ,4,0.03546728143287817
ལྟུང་བ,4,0.03546728143287817
ས་པ་,4,0.03546728143287817
འགྲོ་,4,0.03546728143287817
མཆོག་,4,0.03546728143287817
བླངས་པ,4,0.03546728143287817
སེམས་བསྐྱེད་པ་,4,0.03546728143287817
ཕྱིས་,4,0.03546728143287817
མཁྱེན་པ་,4,0.03546728143287817
རྣམ་,4,0.03546728143287817
བློ,4,0.03546728143287817
བཅུ་,4,0.03546728143287817
ཁོང་,4,0.03546728143287817
འདི་ལྟར་,4,0.03546728143287817
ཅི་སྟེ་,4,0.03546728143287817
འགྱུར་བ་,4,0.03546728143287817
སུ་ཞིག་,4,0.03546728143287817
འགལ་རྐྱེན་,4,0.03546728143287817
ཞི་བ་,4,0.03546728143287817
ཅིའི་ཕྱིར་,4,0.03546728143287817
སྨོས་ཅི་,4,0.03546728143287817
དགོས,4,0.03546728143287817
ཁམས་,4,0.03546728143287817
དགེ་སྡིག་,4,0.03546728143287817
བརྒྱུད་མ,4,0.03546728143287817
བསྟན་,4,0.03546728143287817
ཉེས་དམིགས་,4,0.03546728143287817
གསོ་བ,4,0.03546728143287817
ཆུ་,4,0.03546728143287817
འཆིང་བ་,4,0.03546728143287817
ལན་,4,0.03546728143287817
ཐོག་མེད་,4,0.03546728143287817
སྤྱིར་,4,0.03546728143287817
དམྱལ་བ་,4,0.03546728143287817
དུད་འགྲོ་,4,0.03546728143287817
ཆེན་,4,0.03546728143287817
གངྒཱའི་,4,0.03546728143287817
ཀླུང་,4,0.03546728143287817
སྙེད་,4,0.03546728143287817
བྱེ་བ་,4,0.03546728143287817
དམ་པ,4,0.03546728143287817
འཕེལ་བ,4,0.03546728143287817
དཀ,4,0.03546728143287817
འདི་འདྲ,4,0.03546728143287817
ད་རེས་,4,0.03546728143287817
གཞན་དབང་,4,0.03546728143287817
ཤེས་པ་,4,0.03546728143287817
བསགས་,4,0.03546728143287817
བརྒྱ,4,0.03546728143287817
གཉའ་ཤིང་,4,0.03546728143287817
གི,4,0.03546728143287817
ཆུད་,4,0.03546728143287817
འཚོ་བ་,4,0.03546728143287817
སྟེང་,4,0.03546728143287817
ཐར་བ,4,0.03546728143287817
ཐར་,4,0.03546728143287817
ཕར་ཕྱིན་,4,0.03546728143287817
གསུམ་པ་,4,0.03546728143287817
ཇི་ཞིག་,4,0.03546728143287817
སམ་,4,0.03546728143287817
འགའ་ཞིག་,4,0.03546728143287817
ཆགས་པ,4,0.03546728143287817
གཟུགས་,4,0.03546728143287817
ཕྱི་རོལ་,4,0.03546728143287817
འབྲེལ་,4,0.03546728143287817
གང་ཟག་,4,0.03546728143287817
བསད་,4,0.03546728143287817
རང་རྒྱུད་,4,0.03546728143287817
བསྟེན་པ,4,0.03546728143287817
སྙིང་,4,0.03546728143287817
ལུས་སེམས་,4,0.03546728143287817
དཀའ་སྤྱད་,4,0.03546728143287817
འཇོམས་བྱེད་,4,0.03546728143287817
དེང་,4,0.03546728143287817
སྤོངས་,4,0.03546728143287817
འཁོན་,4,0.03546728143287817
གནས་ལུགས་,4,0.03546728143287817
ཡང་དག་,4,0.03546728143287817
ཚད་མ་,4,0.03546728143287817
ཕྱིར,4,0.03546728143287817
རྟོགས་པ,4,0.03546728143287817
འཇུག་ལྡོག་,3,0.026600461074658625
ལྷུར་ལེན་པ་,3,0.026600461074658625
བརྟགས་པ་,3,0.026600461074658625
ཤེས་བཞིན་,3,0.026600461074658625
རྒྱས་པ,3,0.026600461074658625
འདའ་,3,0.026600461074658625
ཞེས་པ་,3,0.026600461074658625
གཏོང་བ,3,0.026600461074658625
ཕྱིན་ཆད་,3,0.026600461074658625
སྨོན་པ,3,0.026600461074658625
ཚད་,3,0.026600461074658625
རྫོགས་,3,0.026600461074658625
ནན་ཏན་,3,0.026600461074658625
ན་མེད་པ་,3,0.026600461074658625
ལྟ་ཅི་,3,0.026600461074658625
མིང་,3,0.026600461074658625
